epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.819,3.13093,11.5901,2.6057,0.20829,0.20741,0.19183,0.05917,2.52285,4.8463,2.21027,0.0671514,0.000331804,0.000331804
2,243.68,2.77445,3.66316,2.27627,0.54746,0.22079,0.20073,0.05422,2.38179,3.1144,1.77674,0.0341448,0.000658553,0.000658553
3,365.824,2.6375,3.38261,2.27674,0.93041,0.25958,0.27943,0.10919,2.02588,2.84038,1.65971,0.00113161,0.000978701,0.000978701
4,488.31,2.55227,3.26536,2.24154,0.62314,0.33028,0.29349,0.07654,2.23383,2.40087,1.67409,0.0009703,0.0009703,0.0009703
5,610.439,2.67533,3.12573,2.21142,0.92991,0.24234,0.24372,0.05231,2.45991,2.64471,1.71612,0.0009604,0.0009604,0.0009604
6,732.563,2.54088,3.03476,2.13752,0.92715,0.25343,0.26626,0.07943,2.21962,2.90816,1.75259,0.0009505,0.0009505,0.0009505
7,854.914,2.45007,2.95931,2.14567,0.93869,0.26559,0.2438,0.05627,2.47543,2.55655,1.87263,0.0009406,0.0009406,0.0009406
8,976.076,2.4625,2.79976,2.05878,0.94588,0.26436,0.29539,0.08454,2.35356,2.61124,1.62228,0.0009307,0.0009307,0.0009307
9,1097.33,2.4684,2.80029,2.03922,0.95537,0.27264,0.30493,0.12246,1.97654,1.84759,1.52201,0.0009208,0.0009208,0.0009208
10,1218.71,2.36308,2.66656,1.9363,0.98289,0.2931,0.31007,0.10888,2.03237,1.8425,1.51022,0.0009109,0.0009109,0.0009109
11,1340.07,2.41818,2.70554,2.04112,0.66891,0.34837,0.32018,0.10756,1.93491,2.01407,1.43302,0.000901,0.000901,0.000901
12,1461.42,2.36685,2.70525,2.01833,0.75878,0.35406,0.35318,0.14098,1.91947,1.868,1.475,0.0008911,0.0008911,0.0008911
13,1582.99,2.39723,2.72149,2.0362,0.69152,0.34859,0.34218,0.10812,1.98269,1.8135,1.50423,0.0008812,0.0008812,0.0008812
14,1704.52,2.35549,2.60971,1.99599,0.73076,0.42053,0.36182,0.15621,1.72033,1.85304,1.3936,0.0008713,0.0008713,0.0008713
15,1826.02,2.28961,2.58591,1.98999,0.96757,0.26667,0.31891,0.10289,2.08413,1.76167,1.53415,0.0008614,0.0008614,0.0008614
16,1947.29,2.26088,2.48222,1.95395,0.98717,0.28975,0.35013,0.1511,1.77304,1.47636,1.4347,0.0008515,0.0008515,0.0008515
17,2114.24,2.31337,2.36284,1.94826,0.94343,0.24377,0.2993,0.1102,1.90928,2.02312,1.48576,0.0008416,0.0008416,0.0008416
18,2251.94,2.28783,2.62546,1.9578,0.61613,0.36922,0.34858,0.13588,1.78269,1.91269,1.48564,0.0008317,0.0008317,0.0008317
19,2372.74,2.27533,2.43928,1.92144,0.90329,0.25426,0.32621,0.15411,1.76224,2.20505,1.47573,0.0008218,0.0008218,0.0008218
20,2493.91,2.28622,2.394,1.9404,0.97271,0.28466,0.31803,0.14039,1.88693,1.70519,1.5178,0.0008119,0.0008119,0.0008119
21,2615.58,2.24657,2.43618,1.93052,0.71255,0.39886,0.40376,0.16585,1.66176,1.55559,1.38141,0.000802,0.000802,0.000802
