epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1242,2.05374,5.48484,1.53963,1,0.11107,0.23094,0.13782,1.48679,11.2745,0.88304,0.000328502,0.000328502,0.000328502
2,45.319,1.73536,3.52719,1.2315,0.70423,0.47115,0.51668,0.29964,1.46137,6.75788,0.93252,0.000655284,0.000655284,0.000655284
3,65.9014,1.72124,3.01724,1.23086,0.75331,0.48259,0.45676,0.24501,1.49064,4.45402,0.89391,0.000975465,0.000975465,0.000975465
4,86.4512,1.62922,2.49941,1.18497,0.86767,0.57241,0.56037,0.26485,1.43788,1.44004,0.9455,0.0009703,0.0009703,0.0009703
5,107.323,1.60964,2.04166,1.17962,0.81008,0.4981,0.45319,0.21271,1.38658,2.56959,1.00292,0.0009604,0.0009604,0.0009604
6,128.597,1.57898,1.73106,1.16204,0.6484,0.60761,0.6327,0.36521,1.26756,2.02885,0.88497,0.0009505,0.0009505,0.0009505
7,150.764,1.46337,1.47202,1.10471,0.91061,0.60616,0.66664,0.4077,1.23094,1.27171,0.82375,0.0009406,0.0009406,0.0009406
8,170.959,1.40975,1.33869,1.11147,0.75873,0.61958,0.67029,0.45422,1.13358,1.01314,0.78935,0.0009307,0.0009307,0.0009307
9,191.37,1.37508,1.28214,1.07804,0.92442,0.60547,0.63715,0.4033,1.19907,1.05342,0.78979,0.0009208,0.0009208,0.0009208
10,212.358,1.4214,1.19306,1.08854,0.8187,0.66428,0.701,0.43011,1.19764,0.96942,0.78408,0.0009109,0.0009109,0.0009109
11,233.948,1.37422,1.13104,1.07575,0.68605,0.67881,0.67204,0.45585,1.11864,0.90908,0.78407,0.000901,0.000901,0.000901
12,255.848,1.31055,1.03536,1.04993,0.81043,0.70294,0.72968,0.50036,1.0302,0.97946,0.75443,0.0008911,0.0008911,0.0008911
13,276.42,1.27672,1.0034,1.03591,0.76458,0.68553,0.71803,0.48855,1.13232,0.87223,0.76687,0.0008812,0.0008812,0.0008812
14,297.449,1.22047,0.92413,1.02831,0.69851,0.71076,0.67795,0.49895,1.0079,0.76452,0.73927,0.0008713,0.0008713,0.0008713
15,318.89,1.25003,0.95457,1.0296,0.78529,0.73653,0.73715,0.51506,0.99938,1.03336,0.76127,0.0008614,0.0008614,0.0008614
16,339.288,1.23612,0.96365,1.07277,0.82388,0.74024,0.7493,0.52302,1.01954,0.77796,0.72632,0.0008515,0.0008515,0.0008515
17,359.846,1.18496,0.88029,1.01456,0.82018,0.77101,0.76659,0.53698,0.97692,0.76003,0.73245,0.0008416,0.0008416,0.0008416
18,380.831,1.20834,0.92152,1.03001,0.65126,0.70854,0.67994,0.38961,1.21229,0.90309,0.85093,0.0008317,0.0008317,0.0008317
19,401.768,1.15754,0.85948,1.01764,0.88044,0.76056,0.76679,0.52783,1.04206,1.06056,0.72014,0.0008218,0.0008218,0.0008218
20,423.485,1.13517,0.81414,0.99964,0.83851,0.74013,0.75616,0.55261,0.98548,0.91694,0.71723,0.0008119,0.0008119,0.0008119
21,443.931,1.15658,0.82762,1.01532,0.95838,0.67093,0.72034,0.54529,0.98315,0.91809,0.74142,0.000802,0.000802,0.000802
22,464.654,1.11891,0.81797,0.99053,0.86425,0.68591,0.74123,0.54507,0.95356,0.95501,0.71353,0.0007921,0.0007921,0.0007921
23,485.667,1.16778,0.79378,0.99331,0.77916,0.76101,0.75567,0.56187,0.90085,0.6279,0.69634,0.0007822,0.0007822,0.0007822
24,507.383,1.11324,0.77971,0.99215,0.81536,0.72032,0.75816,0.57669,0.90685,0.62375,0.69313,0.0007723,0.0007723,0.0007723
25,527.902,1.12783,0.77023,0.98983,0.89014,0.74703,0.76614,0.57911,0.8914,0.77309,0.71514,0.0007624,0.0007624,0.0007624
26,548.511,1.10869,0.75901,1.00065,0.80987,0.76436,0.7754,0.57326,0.93795,0.76565,0.72122,0.0007525,0.0007525,0.0007525
27,569.18,1.07533,0.73069,0.96782,0.8553,0.73786,0.77568,0.56958,0.90374,0.74404,0.71586,0.0007426,0.0007426,0.0007426
28,590.291,1.07044,0.73616,0.97553,0.85039,0.76675,0.79696,0.60716,0.84419,0.80564,0.68233,0.0007327,0.0007327,0.0007327
29,612.368,1.0771,0.728,0.97703,0.92263,0.75,0.78522,0.60003,0.86351,0.59382,0.69966,0.0007228,0.0007228,0.0007228
30,632.993,1.02595,0.70918,0.94616,0.90686,0.76859,0.7986,0.61047,0.8483,0.74616,0.68344,0.0007129,0.0007129,0.0007129
31,653.338,0.96643,0.65676,0.94215,0.89904,0.76388,0.80487,0.6089,0.86469,0.7436,0.68785,0.000703,0.000703,0.000703
32,673.688,0.94807,0.64324,0.91924,0.86988,0.76953,0.79076,0.61743,0.84574,0.63833,0.68173,0.0006931,0.0006931,0.0006931
33,694.589,0.98901,0.67773,0.95265,0.78012,0.81069,0.8009,0.60957,0.86607,0.7252,0.6759,0.0006832,0.0006832,0.0006832
34,716.036,1.02529,0.68309,0.9642,0.92846,0.78904,0.8268,0.65268,0.78192,1.15477,0.66735,0.0006733,0.0006733,0.0006733
35,737.9,1.01843,0.68469,0.9715,0.95975,0.77943,0.82839,0.584,0.84685,0.89621,0.67797,0.0006634,0.0006634,0.0006634
36,758.492,0.97756,0.66357,0.94248,0.92738,0.78135,0.82172,0.60113,0.88679,0.88237,0.6737,0.0006535,0.0006535,0.0006535
37,778.883,0.91789,0.62991,0.93557,0.94204,0.77797,0.81621,0.63877,0.85213,0.56476,0.68611,0.0006436,0.0006436,0.0006436
38,799.603,0.99112,0.66388,0.94965,0.86776,0.77774,0.80854,0.58192,0.85724,0.57911,0.69638,0.0006337,0.0006337,0.0006337
39,820.523,1.00936,0.67689,0.96638,0.84438,0.78198,0.78492,0.60787,0.80975,0.57402,0.6783,0.0006238,0.0006238,0.0006238
40,841.972,0.99707,0.65315,0.93812,0.83569,0.82823,0.82517,0.63916,0.78206,0.81285,0.66709,0.0006139,0.0006139,0.0006139
41,863.898,0.98258,0.62698,0.94508,0.89777,0.7968,0.83221,0.67042,0.79205,0.5654,0.66358,0.000604,0.000604,0.000604
42,884.657,0.92124,0.59083,0.91761,0.83719,0.79562,0.81975,0.65346,0.815,0.50542,0.66498,0.0005941,0.0005941,0.0005941
43,905.266,1.00328,0.63571,0.95924,0.85458,0.81395,0.85289,0.68513,0.71884,0.71571,0.66595,0.0005842,0.0005842,0.0005842
44,925.924,0.90599,0.60764,0.9422,0.81213,0.84243,0.85313,0.69039,0.73946,0.47461,0.66314,0.0005743,0.0005743,0.0005743
45,947.157,0.95618,0.62514,0.95033,0.78057,0.83809,0.80659,0.62542,0.737,0.48592,0.66473,0.0005644,0.0005644,0.0005644
46,968.872,0.92041,0.60591,0.92763,0.87453,0.81117,0.85074,0.66889,0.71179,0.60956,0.65809,0.0005545,0.0005545,0.0005545
47,988.952,0.90213,0.59165,0.93622,0.83241,0.84153,0.84444,0.64865,0.75369,0.57016,0.66242,0.0005446,0.0005446,0.0005446
48,1009.43,0.92377,0.63574,0.94039,0.85114,0.79602,0.81423,0.65696,0.72333,0.48754,0.6578,0.0005347,0.0005347,0.0005347
49,1030.04,0.93077,0.58539,0.92245,0.89331,0.82932,0.85793,0.67564,0.72614,1.10231,0.65737,0.0005248,0.0005248,0.0005248
50,1051.09,0.83347,0.563,0.90273,0.88305,0.84551,0.87305,0.69356,0.7187,0.76852,0.66397,0.0005149,0.0005149,0.0005149
51,1072.61,0.87438,0.5545,0.91658,0.82212,0.83136,0.84557,0.66846,0.73364,0.5287,0.65787,0.000505,0.000505,0.000505
52,1097.96,0.85215,0.55298,0.90559,0.8114,0.84826,0.83781,0.66817,0.72018,0.48932,0.64865,0.0004951,0.0004951,0.0004951
53,1119.18,0.86355,0.57205,0.9196,0.93429,0.78742,0.84765,0.68247,0.70041,0.50626,0.65117,0.0004852,0.0004852,0.0004852
54,1140.31,0.89997,0.56648,0.91506,0.8849,0.79684,0.84004,0.68237,0.66218,0.51722,0.65848,0.0004753,0.0004753,0.0004753
55,1161.83,0.85372,0.55003,0.90907,0.88315,0.83449,0.87377,0.71314,0.67292,0.4843,0.65701,0.0004654,0.0004654,0.0004654
56,1183.55,0.812,0.53836,0.90551,0.81579,0.85956,0.8235,0.66388,0.67553,0.47968,0.6473,0.0004555,0.0004555,0.0004555
57,1205.43,0.84414,0.5504,0.91712,0.89188,0.79649,0.83357,0.6791,0.68227,0.5103,0.64451,0.0004456,0.0004456,0.0004456
58,1226.72,0.79643,0.5223,0.90791,0.91505,0.8394,0.8688,0.72146,0.67038,0.46611,0.64478,0.0004357,0.0004357,0.0004357
59,1247.83,0.83376,0.53568,0.91177,0.96427,0.79837,0.86756,0.7359,0.64592,0.41353,0.63901,0.0004258,0.0004258,0.0004258
60,1269.31,0.85235,0.54779,0.92968,0.84826,0.87369,0.85369,0.69552,0.65472,0.6292,0.63843,0.0004159,0.0004159,0.0004159
61,1291.1,0.8074,0.53332,0.89942,0.91144,0.84063,0.87872,0.72198,0.66979,0.45935,0.63639,0.000406,0.000406,0.000406
62,1313.81,0.80663,0.51639,0.9028,0.94874,0.84532,0.88995,0.73019,0.64477,0.43395,0.6353,0.0003961,0.0003961,0.0003961
63,1333.56,0.76688,0.50975,0.88567,0.90414,0.8047,0.82738,0.69515,0.65704,0.4441,0.64479,0.0003862,0.0003862,0.0003862
64,1354.08,0.82844,0.52312,0.89444,0.81429,0.84368,0.82527,0.6867,0.63109,0.43181,0.63282,0.0003763,0.0003763,0.0003763
65,1374.06,0.7774,0.49914,0.8972,0.88564,0.86061,0.88662,0.73563,0.62453,0.42324,0.64184,0.0003664,0.0003664,0.0003664
66,1394.37,0.78,0.50758,0.90264,0.88996,0.86611,0.88042,0.74721,0.61735,0.42951,0.63226,0.0003565,0.0003565,0.0003565
67,1416.53,0.80619,0.52103,0.89936,0.91242,0.85535,0.88837,0.73881,0.60129,0.50406,0.6302,0.0003466,0.0003466,0.0003466
